timestamp,sensor_type,min_range,max_range,avg_range
0.232,laser,7.168647766113281,18.79413604736328,10.01724319747
0.33,laser,7.156474590301514,18.79498291015625,10.018162814053623
0.43,laser,7.1655354499816895,18.79575538635254,10.016616980234781
0.53,laser,7.161258697509766,18.781843185424805,10.017641056667674
0.631,laser,7.177790641784668,18.804126739501953,10.017170927741311
0.73,laser,7.165008068084717,18.806020736694336,10.018852031592166
0.83,laser,7.163976192474365,18.760316848754883,10.017272819172252
0.93,laser,7.156310081481934,18.800159454345703,10.01684202931144
1.03,laser,7.15941047668457,18.80818748474121,9.975099530838827
1.13,laser,7.163070201873779,18.78121566772461,9.97757945897925
1.231,laser,7.159116744995117,18.795969009399414,9.976562954997288
1.331,laser,7.154150009155273,18.799942016601562,9.977218191132291
1.431,laser,7.158900737762451,18.80809211730957,9.97514620264068
1.532,laser,7.164742946624756,18.790082931518555,9.976577533110408
1.6320000000000001,laser,7.162293434143066,18.79430389404297,9.976214066716551
1.7309999999999999,laser,7.1707539558410645,18.773252487182617,9.974920003468753
1.8319999999999999,laser,7.162678241729736,18.79591178894043,9.97709640109812
1.932,laser,7.144889831542969,18.79493522644043,9.976549530757293
2.032,laser,7.162247657775879,18.792892456054688,9.97512169102676
2.1310000000000002,laser,7.166709899902344,18.802085876464844,9.97579565849013
2.231,laser,7.147536754608154,18.786584854125977,9.976867046065003
2.331,laser,7.163882732391357,18.787614822387695,9.975779973823606
2.433,laser,7.15461540222168,18.776369094848633,9.975308531113253
2.532,laser,7.162678241729736,18.844099044799805,9.977378058979529
2.632,laser,7.171195030212402,18.550186157226562,9.95367053397616
2.732,laser,7.180965423583984,18.51987648010254,10.013045078015509
2.832,laser,7.184999942779541,18.444942474365234,9.960391223878789
2.933,laser,7.179457664489746,18.794994354248047,9.972331825055575
3.033,laser,7.195002555847168,18.26012420654297,9.979689641763235
3.132,laser,7.194706439971924,17.49478530883789,9.98915484077052
3.231,laser,7.1776957511901855,18.252525329589844,10.007828540371772
3.332,laser,7.179746627807617,19.2204647064209,10.038100843998924
3.431,laser,7.1677045822143555,18.656368255615234,9.943509360306136
3.531,laser,7.139244556427002,18.36874008178711,9.94472817520597
3.632,laser,7.101749420166016,18.204753875732422,9.974944688323745
3.731,laser,7.063492774963379,17.96342658996582,9.931494865844499
3.832,laser,7.0196309089660645,18.59784698486328,9.888128556703267
3.931,laser,6.951822757720947,17.522258758544922,9.864881519088172
4.031,laser,6.920813083648682,17.86663055419922,9.846422166535348
4.131,laser,6.858628273010254,17.679588317871094,9.803612476004695
4.231,laser,6.817355155944824,17.77081298828125,9.775313180192073
4.332,laser,6.775961875915527,19.319461822509766,9.777718174726443
4.432,laser,6.736746788024902,17.789318084716797,9.708433122345895
4.531,laser,6.686680316925049,18.08867073059082,9.70862162740607
4.632,laser,6.6442131996154785,19.093534469604492,9.689958693376228
