timestamp,victim_id,pos_x,pos_y,pos_z,confidence
774.99,1,-5.67722136525097,-12.381434633164664,0.07500077436608152,0.8
778.065,2,-5.673871052824299,-12.38142072023245,0.07499377811057004,0.8
778.12,3,-5.673758527070745,-12.381453319055193,0.07499999802396129,0.8
781.192,4,-5.674566359257224,-12.381470448782578,0.07500011410505647,0.8
781.23,5,-5.674163697791669,-12.381482175530811,0.07500348450198081,0.8
784.347,6,-5.677407967473122,-12.381464646108283,0.07500008087017002,0.8
784.385,7,-5.677240768040855,-12.38145787327453,0.0750000256053161,0.8
787.405,8,-5.668012189135565,-12.381295687723394,0.07500272748333016,0.8
787.451,9,-5.668228518830703,-12.381296240649181,0.07500126087927561,0.8
790.602,10,-5.675700401602149,-12.381436295847141,0.07499666686593862,0.8
790.632,11,-5.675807684748432,-12.381447465620823,0.07499261314954364,0.8
793.697,12,-5.677086307514179,-12.381457252379167,0.07499418002560032,0.8
793.73,13,-5.676794885750019,-12.381466579791047,0.07499999476846339,0.8
