timestamp,victim_id,pos_x,pos_y,pos_z,confidence
3.165,1,0.0021302989584278797,4.941419705019589e-05,0.07499999982028177,0.8
6.326,2,0.0050176281038065455,0.00011898395910676116,0.0749999997423382,0.8
9.506,3,0.007925177067701766,0.00018924448365557336,0.07499999965611949,0.8
12.649000000000001,4,0.01079224919680129,0.0002582500658667029,0.07499999968992908,0.8
15.807,5,0.01367940892284055,0.00032800497215909624,0.07499999964654903,0.8
18.956,6,0.016540860632906083,0.00039748803977626186,0.07499999974233588,0.8
22.106,7,0.019428258063973188,0.0004672882371501212,0.07499999771983133,0.8
25.291,8,0.02234030670294029,0.0005374885689380475,0.07499999702858504,0.8
28.394,9,0.0251715913986651,0.0006062497722651345,0.07499999976360093,0.8
31.429,10,0.02794313121473314,0.0006736417056858169,0.0750000000677074,0.8
34.594,11,0.03082944996915266,0.000743619534686654,0.07499504026622758,0.8
37.721,12,0.0337038996738821,0.0008129695864670912,0.07499999967333883,0.8
40.811,13,0.03651396832220305,0.0008813209427283571,0.07499999757436629,0.8
43.828,14,0.039269103227688444,0.0009483965035027226,0.07499999973348923,0.8
46.914,15,0.04207696424517487,0.0010168794489836194,0.07499999772912946,0.8
49.923,16,0.04483871702691961,0.001084045446302277,0.07499999961328742,0.8
