timestamp,sensor_type,min_range,max_range,avg_range
0.175,laser,7.158859729766846,18.790618896484375,10.015792781656438
0.277,laser,7.173297882080078,18.79051971435547,10.01706461834185
0.378,laser,7.156862735748291,18.7857723236084,10.017217162883643
0.477,laser,7.166366100311279,18.780881881713867,10.016272931387931
0.577,laser,7.157655715942383,18.805753707885742,10.017995776552143
0.678,laser,7.168246746063232,18.777589797973633,10.016932147921938
0.777,laser,7.159115791320801,18.80318260192871,10.018468741214637
0.878,laser,7.1612677574157715,18.778968811035156,10.016964706507595
0.977,laser,7.165402889251709,18.814006805419922,9.977817921238092
1.078,laser,7.164170265197754,18.79189682006836,9.976940133189427
1.177,laser,7.16349983215332,18.79924964904785,9.976618217147944
1.2770000000000001,laser,7.170889377593994,18.8018741607666,9.9772522686092
1.377,laser,7.156640529632568,18.79815673828125,9.977392029216272
1.478,laser,7.167954921722412,18.7978515625,9.9760927935593
1.577,laser,7.158998489379883,18.796701431274414,9.976881340259814
1.677,laser,7.165361404418945,18.805274963378906,9.977418415419018
1.7770000000000001,laser,7.1544270515441895,18.796695709228516,9.97558457978809
1.8780000000000001,laser,7.168223857879639,18.809349060058594,9.976362828989975
1.9769999999999999,laser,7.1521525382995605,18.786865234375,9.977187120277463
2.077,laser,7.159452438354492,18.804737091064453,9.975784017839505
2.178,laser,7.163695812225342,18.816640853881836,9.976399236053
2.278,laser,7.156559944152832,18.793996810913086,9.975205912844824
2.378,laser,7.162391185760498,18.79686164855957,9.977740262300914
2.477,laser,7.165273666381836,18.811304092407227,9.976711458832254
2.577,laser,7.165088653564453,18.81146240234375,9.97673015012086
2.677,laser,7.16202974319458,18.790019989013672,9.974382400512695
2.778,laser,7.163360118865967,18.811504364013672,9.977267086960888
2.893,laser,7.157764911651611,18.792999267578125,9.975406792327648
2.977,laser,7.154505729675293,18.787574768066406,9.977226945280119
3.077,laser,7.166414737701416,18.799999237060547,9.976573951371753
3.178,laser,7.148905277252197,18.80284309387207,9.977404117584229
3.277,laser,7.169478416442871,18.815685272216797,9.977556115798368
3.377,laser,7.157351016998291,18.804540634155273,9.976545996338357
3.477,laser,7.165389060974121,18.780216217041016,9.975738525390625
3.578,laser,7.158568382263184,18.784347534179688,9.975806927862967
3.683,laser,7.1555986404418945,18.8112850189209,9.97659844842576
3.778,laser,7.15532112121582,18.78744888305664,9.974208718947782
3.877,laser,7.167619228363037,18.78462028503418,9.975218397970417
3.9779999999999998,laser,7.168399810791016,18.79955291748047,9.978166423681127
4.079,laser,7.166942119598389,18.795534133911133,9.975090940490023
4.177,laser,7.166718482971191,18.79925537109375,9.975960989944808
4.277,laser,7.15976095199585,18.797069549560547,9.975173331399
4.377,laser,7.172117710113525,18.792781829833984,9.974544317667721
4.477,laser,7.1650238037109375,18.79550552368164,9.975641450809158
4.577,laser,7.1627068519592285,18.791301727294922,9.976043835851073
4.677,laser,7.159939289093018,18.792572021484375,9.974220476077713
4.7780000000000005,laser,7.1565446853637695,18.797813415527344,9.975696738439662
4.877,laser,7.161171913146973,18.79293441772461,9.975200445597409
4.977,laser,7.156562328338623,18.778709411621094,9.97392064014464
5.078,laser,7.149737358093262,18.780807495117188,9.975594087411428
5.178,laser,7.1596150398254395,18.79494857788086,9.97603599169782
5.277,laser,7.162479400634766,18.785436630249023,9.975868032178806
5.377,laser,7.161478042602539,18.785539627075195,9.97471216070743
5.478,laser,7.169506072998047,18.788490295410156,9.974454967120222
5.577,laser,7.1633734703063965,18.79097557067871,9.975203983656323
5.677,laser,7.160606861114502,18.806917190551758,9.97461156990692
5.777,laser,7.147980690002441,18.778491973876953,9.973587072532595
5.878,laser,7.159229278564453,18.79400062561035,9.974774604535284
5.977,laser,7.161947727203369,18.784820556640625,9.975077585409617
6.079,laser,7.147659778594971,18.78841209411621,9.973923803285787
6.177,laser,7.166253089904785,18.799259185791016,9.976143462057331
6.2780000000000005,laser,7.155355453491211,18.79452133178711,9.975329166150274
6.377,laser,7.156868934631348,18.785869598388672,9.974080864709752
6.477,laser,7.157661437988281,18.78644561767578,9.973799756465068
6.578,laser,7.171999454498291,18.79038429260254,9.974937628243715
6.678,laser,7.163710594177246,18.777864456176758,9.973844397159024
6.777,laser,7.155674457550049,18.78619384765625,9.97394770338335
